1971
f3: l1 = 2.13; l2 = 2.63
f4: l1 = 1.91; l2 = 2.33
f5: l1 = 2.09; l2 = 2.73
f6: l1 = 2.27; l2 = 3.01
f7: l1 = 1.57; l2 = 2.12
f8: l1 = 3.37; l2 = 4.49
f9: l1 = 3.09; l2 = 4.06
f10: l1 = 3.25; l2 = 4.32
f11: l1 = 3.21; l2 = 4.51
f12: l1 = 3.16; l2 = 4.92
f13: l1 = 3.77; l2 = 5.33
f14: l1 = 2.76; l2 = 3.34

2006
f1: l1 = 2.31; l2 = 3.26
f2: l1 = 2.06; l2 = 3.17
f3: l1 = 2.24; l2 = 2.80
f4: l1 = 2.07; l2 = 2.86
f5: l1 = 2.19; l2 = 2.90
f6: l1 = 2.76; l2 = 3.59
f7: l1 = 2.01; l2 = 2.63
f8: l1 = 2.56; l2 = 3.61
f9: l1 = 2.64; l2 = 3.62
f10: l1 = 2.16; l2 = 3.06
f11: l1 = 2.24; l2 = 3.05
f12: l1 = 2.08; l2 = 2.91
f13: l1 = 2.25; l2 = 3.05
f14: l1 = 3.17; l2 = 4.20

2007
f1: l1 = 2.83; l2 = 3.73
f2: l1 = 2.95; l2 = 4.01
f3: l1 = 2.40; l2 = 3.08
f4: l1 = 2.35; l2 = 2.79
f5: l1 = 2.91; l2 = 3.62
f6: l1 = 2.94; l2 = 3.77
f7: l1 = 2.44; l2 = 3.32
f8: l1 = 2.55; l2 = 3.02
f9: l1 = 2.38; l2 = 2.96
f10: l1 = 2.38; l2 = 2.98
f11: l1 = 3.30; l2 = 4.80
f12: l1 = 2.93; l2 = 4.23
f13: l1 = 3.46; l2 = 4.92
f14: l1 = 2.55; l2 = 2.95

2008
f1: l1 = 2.12; l2 = 2.72
f2: l1 = 2.22; l2 = 3.01
f3: l1 = 2.10; l2 = 2.95
f4: l1 = 1.70; l2 = 2.52
f5: l1 = 2.23; l2 = 3.14
f6: l1 = 1.95; l2 = 2.53
f7: l1 = 1.35; l2 = 1.81
f8: l1 = 1.54; l2 = 2.16
f9: l1 = 1.39; l2 = 1.89
f10: l1 = 1.38; l2 = 2.11
f11: l1 = 2.08; l2 = 2.93
f12: l1 = 2.02; l2 = 2.87
f13: l1 = 2.04; l2 = 2.64
f14: l1 = 1.53; l2 = 2.13

2009
f1: l1 = 1.95; l2 = 2.85
f2: l1 = 1.57; l2 = 2.17
f3: l1 = 1.86; l2 = 2.27
f4: l1 = 1.72; l2 = 2.17
